,0,1,2,3,4,5
"('L', 1)",7976.359175742962,,,,,
"('L', 2)",7981.756278502236,8740.698599465142,,,,
"('L', 3)",7986.721518314227,8736.428178973743,9463.703487118788,,,
"('L', 4)",7982.982774302534,8731.269188371361,9460.89583305081,10135.044682488957,,
"('L', 5)",7981.8431783646565,8726.122251434419,9446.987248529682,10151.162563726082,10806.415935268882,
"('L', 6)",7990.2967033181,8750.0106506079,9435.894596407858,10152.603575498188,10795.619747352177,11419.55660910554
"('G', 1)",8352.805780942399,,,,,
"('G', 2)",8378.740977014913,8360.520371638642,,,,
"('G', 3)",8369.915788255192,8363.778123096898,8345.782351676165,,,
"('G', 4)",8350.320010055137,8349.587669864719,8363.78654205762,8344.886723392387,,
"('G', 5)",8374.496419349907,8375.123622608082,8367.592430079432,8358.40242988972,8364.530327596049,
"('G', 6)",8347.878812618197,8379.979240311708,8354.758846620212,8365.04621527614,8343.549043604333,8353.674710020536
"('L2', 1)",7976.359175742962,,,,,
"('L2', 2)",7980.646410540084,7998.969556599011,,,,
"('L2', 3)",7995.105949090773,7990.753688734966,8729.835635717158,,,
"('L2', 4)",7987.87542259921,7983.748310684985,8718.787775176532,8748.00400915343,,
"('L2', 5)",8007.025235180797,7979.841093646318,8728.741889005736,8733.487056292885,9437.60321962061,
"('L2', 6)",7976.4403248682565,7984.652236315788,8726.61911121369,8740.533477921177,9445.317268702824,9445.175426719232
